Teacher_ID,Full_Name,Gender,Country,Primary_Subject,Secondary_Subject,Education_Level,Years_of_Experience,Teaching_Style,Certifications,Availability,Language,Student_Rating,Courses_Taught,Is_Research_Active,Email
T02819,Mr. Gregory Dalton,Non-Binary,France,History,English,Masters,6,Interactive,Online Certifications,Visiting,German,4.85,74,True,mr..gregory.dalton@example.edu
T02820,Andres Sanders,Male,Germany,History,Computer Science,Masters,14,Lecture-based,B.Ed,Full-time,English,3.87,85,False,andres.sanders@example.edu
T02821,Kevin Lee,Non-Binary,Australia,History,Philosophy,Bachelors,14,Hybrid,None,Visiting,Mandarin,4.73,97,False,kevin.lee@example.edu
T02822,Jeffrey Frank,Non-Binary,Australia,Economics,English,Bachelors,5,Interactive,Online Certifications,Part-time,French,2.74,86,False,jeffrey.frank@example.edu
T02823,Raymond White,Male,France,Mathematics,Computer Science,Masters,11,Lecture-based,M.Ed,Visiting,German,3.33,35,True,raymond.white@example.edu
T02824,Joseph Ray,Non-Binary,UK,History,Chemistry,Bachelors,40,Hybrid,TESOL,Visiting,French,3.5,35,False,joseph.ray@example.edu
T02825,Lori Campbell,Non-Binary,USA,Chemistry,Computer Science,Bachelors,18,Lecture-based,B.Ed,Part-time,English,3.06,63,False,lori.campbell@example.edu
T02826,Nicole Morris,Female,India,Geography,Biology,Masters,27,Project-based,PGCE,Full-time,German,4.83,65,False,nicole.morris@example.edu
T02827,Veronica Colon,Male,Germany,Chemistry,Economics,Bachelors,38,Project-based,TESOL,Full-time,French,2.75,94,False,veronica.colon@example.edu
T02828,Adam House,Male,India,Biology,Biology,Bachelors,15,Lecture-based,PGCE,Visiting,Spanish,4.21,64,False,adam.house@example.edu
T02829,Justin Williams,Non-Binary,Germany,Computer Science,English,Masters,12,Lecture-based,TESOL,Full-time,English,3.1,51,True,justin.williams@example.edu
T02830,Matthew Hopkins,Female,India,Computer Science,English,Masters,34,Hybrid,None,Full-time,French,3.22,13,True,matthew.hopkins@example.edu
T02831,Lucas Ryan,Non-Binary,UK,Computer Science,Biology,Masters,20,Hybrid,M.Ed,Full-time,Spanish,4.91,79,True,lucas.ryan@example.edu
T02832,Andrea Williams,Male,Canada,Biology,Computer Science,Masters,7,Hybrid,M.Ed,Part-time,Spanish,4.94,57,False,andrea.williams@example.edu
T02833,Caroline Murphy,Female,USA,History,Physics,PhD,19,Interactive,B.Ed,Visiting,English,3.49,51,True,caroline.murphy@example.edu
T02834,Laura Moreno,Male,USA,Geography,History,Bachelors,13,Hybrid,PGCE,Visiting,Mandarin,3.02,34,False,laura.moreno@example.edu
T02835,Jennifer Sutton,Non-Binary,Canada,Computer Science,Economics,Masters,7,Lecture-based,PGCE,Part-time,Spanish,4.98,65,False,jennifer.sutton@example.edu
T02836,Terri Davis,Non-Binary,Canada,Philosophy,Chemistry,Bachelors,10,Flipped Classroom,B.Ed,Visiting,German,2.78,13,False,terri.davis@example.edu
T02837,Scott Garcia,Male,UK,Economics,Chemistry,Bachelors,6,Lecture-based,None,Part-time,English,4.88,51,False,scott.garcia@example.edu
T02838,Darryl Boyd,Male,Canada,Chemistry,Biology,PhD,12,Project-based,PGCE,Part-time,French,3.58,64,True,darryl.boyd@example.edu
T02839,Mary Young,Female,Germany,Mathematics,Physics,Masters,13,Lecture-based,M.Ed,Full-time,French,2.87,51,False,mary.young@example.edu
T02840,Dr. Jeremy Hoffman,Female,India,Biology,Economics,PhD,8,Hybrid,None,Full-time,Spanish,3.92,66,False,dr..jeremy.hoffman@example.edu
T02841,David Henderson,Non-Binary,Germany,Physics,Biology,Masters,38,Project-based,Online Certifications,Part-time,Spanish,4.32,38,False,david.henderson@example.edu
T02842,Daniel Peters,Female,France,History,English,PhD,22,Flipped Classroom,TESOL,Visiting,Spanish,4.58,28,True,daniel.peters@example.edu
T02843,Susan Reed,Male,Australia,Chemistry,Physics,PhD,1,Hybrid,M.Ed,Part-time,Mandarin,2.84,17,False,susan.reed@example.edu
T02844,Barry Dunn,Non-Binary,USA,Philosophy,Chemistry,Masters,5,Interactive,None,Full-time,Mandarin,3.15,18,False,barry.dunn@example.edu
T02845,Kimberly Hill,Non-Binary,Germany,Geography,Chemistry,Bachelors,10,Lecture-based,TESOL,Part-time,Spanish,3.07,24,True,kimberly.hill@example.edu
T02846,Joseph Peters,Male,Germany,Philosophy,Mathematics,Masters,10,Lecture-based,None,Visiting,English,4.63,29,False,joseph.peters@example.edu
T02847,Robert Anderson,Female,India,Economics,Economics,Bachelors,5,Interactive,None,Visiting,English,4.55,9,False,robert.anderson@example.edu
T02848,Donna Brewer,Non-Binary,Canada,Computer Science,Computer Science,PhD,14,Interactive,B.Ed,Visiting,English,4.4,30,False,donna.brewer@example.edu
T02849,Joseph Brown,Male,UK,Philosophy,Biology,Masters,15,Flipped Classroom,TESOL,Visiting,French,2.75,8,True,joseph.brown@example.edu
T02850,Adam Jones,Male,UK,English,Economics,Masters,33,Interactive,B.Ed,Full-time,German,3.5,28,True,adam.jones@example.edu
T02851,Dominique Horton,Female,Australia,History,Biology,Masters,27,Project-based,B.Ed,Full-time,Spanish,3.39,14,True,dominique.horton@example.edu
T02852,Stephanie Adams,Non-Binary,Australia,Philosophy,Economics,PhD,40,Interactive,M.Ed,Part-time,Mandarin,4.11,43,True,stephanie.adams@example.edu
T02853,Sarah Ingram,Female,USA,History,Mathematics,Bachelors,30,Lecture-based,None,Full-time,Mandarin,3.93,25,False,sarah.ingram@example.edu
T02854,Gregory Mcdonald,Male,Germany,Philosophy,Economics,PhD,6,Interactive,B.Ed,Full-time,Spanish,4.8,69,True,gregory.mcdonald@example.edu
T02855,Angela Bruce,Non-Binary,UK,History,Chemistry,PhD,34,Project-based,TESOL,Visiting,Mandarin,2.66,24,False,angela.bruce@example.edu
T02856,Jared Lutz,Female,Canada,Biology,Mathematics,Masters,26,Hybrid,PGCE,Full-time,English,4.75,90,False,jared.lutz@example.edu
T02857,Wayne Hudson,Male,France,Physics,Economics,Bachelors,37,Lecture-based,None,Part-time,Mandarin,3.25,76,True,wayne.hudson@example.edu
T02858,Nicole Alexander,Non-Binary,India,Economics,Biology,Bachelors,33,Lecture-based,None,Visiting,German,4.57,91,True,nicole.alexander@example.edu
T02859,Elizabeth Pittman,Non-Binary,France,English,English,Bachelors,17,Hybrid,Online Certifications,Visiting,German,2.52,15,False,elizabeth.pittman@example.edu
T02860,Anthony Hunter,Non-Binary,Germany,History,Mathematics,PhD,16,Project-based,PGCE,Full-time,English,3.15,82,True,anthony.hunter@example.edu
T02861,Nancy Carr,Female,Germany,Geography,Philosophy,PhD,26,Hybrid,TESOL,Part-time,Spanish,3.21,52,True,nancy.carr@example.edu
T02862,Samuel Compton,Female,USA,Mathematics,Philosophy,Bachelors,6,Lecture-based,Online Certifications,Full-time,Spanish,2.89,18,False,samuel.compton@example.edu
T02863,Matthew Gomez,Male,UK,Philosophy,English,PhD,18,Flipped Classroom,TESOL,Full-time,French,3.73,47,True,matthew.gomez@example.edu
T02864,Samuel Arnold,Non-Binary,UK,Geography,Chemistry,PhD,26,Flipped Classroom,PGCE,Full-time,Spanish,4.74,8,True,samuel.arnold@example.edu
T02865,Todd Myers,Male,France,History,Mathematics,Bachelors,19,Hybrid,M.Ed,Visiting,German,4.48,33,False,todd.myers@example.edu
T02866,Terri Wilson,Male,France,Mathematics,Physics,Masters,39,Lecture-based,TESOL,Visiting,French,4.28,70,True,terri.wilson@example.edu
T02867,Amber Owens,Female,USA,Economics,Computer Science,Masters,14,Lecture-based,B.Ed,Part-time,Spanish,3.13,95,True,amber.owens@example.edu
T02868,Richard Welch,Male,Canada,English,Mathematics,Masters,12,Project-based,PGCE,Part-time,Mandarin,3.09,5,False,richard.welch@example.edu
T02869,Ashley Mckenzie,Female,India,Physics,English,Masters,12,Lecture-based,TESOL,Full-time,Mandarin,3.63,19,False,ashley.mckenzie@example.edu
T02870,Mr. William Mitchell II,Male,Germany,English,Chemistry,Masters,25,Flipped Classroom,PGCE,Part-time,German,2.91,46,True,mr..william.mitchell.ii@example.edu
T02871,Tanner Sandoval,Female,UK,Physics,Philosophy,PhD,26,Project-based,None,Full-time,German,2.51,40,False,tanner.sandoval@example.edu
T02872,Erika Smith,Female,USA,Physics,Mathematics,Masters,32,Hybrid,Online Certifications,Part-time,German,4.37,68,False,erika.smith@example.edu
T02873,Bryan Harrington,Non-Binary,USA,History,Economics,Bachelors,9,Hybrid,B.Ed,Visiting,Spanish,3.33,19,False,bryan.harrington@example.edu
T02874,Nicholas Cannon,Female,USA,History,English,PhD,40,Interactive,M.Ed,Part-time,Spanish,3.73,73,False,nicholas.cannon@example.edu
T02875,Candice Carter,Female,Australia,Chemistry,English,PhD,37,Flipped Classroom,None,Full-time,Mandarin,4.49,81,True,candice.carter@example.edu
T02876,Melinda Beasley,Non-Binary,Germany,Philosophy,Chemistry,Bachelors,22,Flipped Classroom,None,Part-time,French,3.66,45,False,melinda.beasley@example.edu
T02877,Debra Martin,Female,UK,Geography,Chemistry,Bachelors,14,Lecture-based,Online Certifications,Full-time,French,3.07,51,True,debra.martin@example.edu
T02878,Kathy Ware,Male,India,Chemistry,Physics,Bachelors,10,Lecture-based,None,Part-time,Mandarin,3.68,57,False,kathy.ware@example.edu
T02879,Melissa Anderson,Male,France,English,English,Bachelors,30,Hybrid,PGCE,Part-time,German,3.35,19,True,melissa.anderson@example.edu
T02880,Mario Roach,Male,Canada,Philosophy,English,Bachelors,31,Hybrid,PGCE,Visiting,French,4.53,43,True,mario.roach@example.edu
T02881,Scott Smith,Non-Binary,Germany,Physics,Computer Science,PhD,33,Interactive,Online Certifications,Part-time,Spanish,4.26,41,True,scott.smith@example.edu
T02882,Ashley Roberts,Female,India,Geography,Biology,Masters,33,Project-based,TESOL,Visiting,English,4.5,48,False,ashley.roberts@example.edu
T02883,Natalie Case,Female,Australia,Computer Science,Computer Science,PhD,23,Interactive,PGCE,Part-time,English,4.47,49,True,natalie.case@example.edu
T02884,Christopher Parsons,Female,USA,History,Chemistry,PhD,32,Hybrid,PGCE,Full-time,French,2.55,48,True,christopher.parsons@example.edu
T02885,Jerry Wallace,Non-Binary,UK,Physics,Physics,Masters,26,Hybrid,B.Ed,Part-time,Mandarin,3.19,64,True,jerry.wallace@example.edu
T02886,Tracy Turner,Female,Germany,History,Mathematics,Bachelors,25,Interactive,Online Certifications,Visiting,Mandarin,4.48,39,False,tracy.turner@example.edu
T02887,Heidi Mckee,Male,Canada,History,Mathematics,PhD,36,Project-based,TESOL,Part-time,Mandarin,2.53,22,False,heidi.mckee@example.edu
T02888,Andrew Robbins,Male,Canada,English,Biology,Masters,1,Interactive,B.Ed,Part-time,French,3.61,70,False,andrew.robbins@example.edu
T02889,Trevor Hahn,Female,Germany,Economics,Physics,Masters,24,Flipped Classroom,Online Certifications,Full-time,French,4.83,24,False,trevor.hahn@example.edu
T02890,Emily Bailey,Female,UK,Biology,English,Masters,39,Flipped Classroom,M.Ed,Full-time,Mandarin,4.84,75,False,emily.bailey@example.edu
T02891,Erin Curtis,Non-Binary,USA,Geography,Economics,PhD,4,Lecture-based,M.Ed,Visiting,Mandarin,3.62,11,False,erin.curtis@example.edu
T02892,Christopher Smith,Male,Canada,History,English,Masters,34,Interactive,M.Ed,Part-time,Mandarin,4.38,48,True,christopher.smith@example.edu
T02893,Rachel Patterson MD,Non-Binary,Germany,Philosophy,Mathematics,Masters,2,Lecture-based,M.Ed,Full-time,Spanish,3.1,70,True,rachel.patterson.md@example.edu
T02894,Nicole Obrien,Male,Canada,Physics,Computer Science,Bachelors,27,Interactive,TESOL,Visiting,French,2.87,48,False,nicole.obrien@example.edu
T02895,Brandon Klein,Non-Binary,USA,Mathematics,History,Bachelors,18,Flipped Classroom,M.Ed,Part-time,Mandarin,4.53,17,True,brandon.klein@example.edu
T02896,Victoria Taylor,Male,Germany,English,Geography,Bachelors,2,Lecture-based,M.Ed,Visiting,Spanish,3.23,16,False,victoria.taylor@example.edu
T02897,David Campbell,Female,Germany,History,Physics,PhD,39,Interactive,None,Visiting,German,3.96,24,False,david.campbell@example.edu
T02898,Cassidy Clayton,Female,India,Philosophy,English,Bachelors,3,Flipped Classroom,Online Certifications,Visiting,German,4.2,25,False,cassidy.clayton@example.edu
T02899,Jenna Mitchell,Male,Canada,Physics,Computer Science,Bachelors,3,Flipped Classroom,None,Part-time,Mandarin,4.21,43,False,jenna.mitchell@example.edu
T02900,Micheal Roberts,Non-Binary,Canada,Philosophy,Economics,Masters,8,Project-based,B.Ed,Part-time,English,2.78,63,False,micheal.roberts@example.edu
T02901,Margaret Velasquez,Male,Canada,Biology,Economics,Bachelors,34,Lecture-based,Online Certifications,Full-time,Spanish,2.51,61,False,margaret.velasquez@example.edu
T02902,Jessica Rodriguez,Male,USA,Physics,Mathematics,Masters,16,Hybrid,TESOL,Part-time,Spanish,3.39,8,False,jessica.rodriguez@example.edu
T02903,Courtney White,Non-Binary,France,Mathematics,Physics,Masters,39,Project-based,PGCE,Visiting,Spanish,2.89,92,False,courtney.white@example.edu
T02904,Karen Smith,Male,UK,Mathematics,Philosophy,Bachelors,18,Interactive,TESOL,Visiting,French,3.75,60,True,karen.smith@example.edu
T02905,Debra King,Female,Australia,Physics,History,Bachelors,20,Interactive,TESOL,Full-time,Mandarin,4.93,60,False,debra.king@example.edu
T02906,Stephanie Ingram,Female,Australia,English,English,Bachelors,38,Project-based,B.Ed,Visiting,Mandarin,4.61,27,True,stephanie.ingram@example.edu
T02907,Julie Murphy,Male,UK,Economics,Economics,Bachelors,17,Project-based,B.Ed,Full-time,Spanish,3.42,76,True,julie.murphy@example.edu
T02908,Timothy Evans,Female,UK,Philosophy,Chemistry,PhD,38,Project-based,None,Part-time,Mandarin,3.71,95,False,timothy.evans@example.edu
T02909,Matthew Mason,Female,UK,Economics,Computer Science,Bachelors,20,Lecture-based,M.Ed,Part-time,German,3.54,7,True,matthew.mason@example.edu
T02910,Alyssa Christian,Non-Binary,UK,Biology,Chemistry,PhD,23,Interactive,TESOL,Part-time,French,3.75,73,True,alyssa.christian@example.edu
T02911,Shannon Williams,Female,Canada,History,Geography,Masters,5,Flipped Classroom,None,Visiting,Spanish,4.39,98,False,shannon.williams@example.edu
T02912,Charles Pruitt,Non-Binary,Australia,Biology,Philosophy,Masters,29,Hybrid,Online Certifications,Full-time,English,4.43,34,False,charles.pruitt@example.edu
T02913,Anna Madden,Female,USA,Economics,Mathematics,Masters,25,Hybrid,PGCE,Full-time,English,3.23,95,True,anna.madden@example.edu
T02914,Cynthia Gardner,Male,Germany,Geography,Computer Science,Masters,35,Hybrid,PGCE,Visiting,Mandarin,2.9,27,True,cynthia.gardner@example.edu
T02915,Donald Gill,Male,Australia,Computer Science,English,PhD,17,Interactive,Online Certifications,Full-time,Mandarin,2.64,35,False,donald.gill@example.edu
T02916,Javier Morgan,Female,UK,Biology,Economics,PhD,21,Hybrid,B.Ed,Full-time,English,4.09,59,True,javier.morgan@example.edu
T02917,David Flowers,Female,India,Biology,Biology,Bachelors,31,Interactive,M.Ed,Part-time,German,3.4,43,True,david.flowers@example.edu
T02918,Terri Dudley,Male,India,Philosophy,Chemistry,PhD,38,Lecture-based,M.Ed,Visiting,French,4.83,14,False,terri.dudley@example.edu
T02919,James Steele,Female,India,Chemistry,Mathematics,PhD,8,Project-based,B.Ed,Visiting,German,2.68,31,False,james.steele@example.edu
T02920,Allison Wilson,Male,Australia,English,Mathematics,Bachelors,38,Hybrid,PGCE,Part-time,Mandarin,4.39,8,True,allison.wilson@example.edu
T02921,Jordan Jensen,Non-Binary,Australia,English,Economics,Bachelors,19,Project-based,Online Certifications,Visiting,English,3.99,26,True,jordan.jensen@example.edu
T02922,John Duncan,Female,UK,Physics,Geography,Bachelors,4,Hybrid,None,Full-time,English,3.43,84,True,john.duncan@example.edu
T02923,Andrea Thompson,Non-Binary,Germany,Chemistry,Computer Science,Bachelors,29,Flipped Classroom,Online Certifications,Full-time,Spanish,4.97,82,True,andrea.thompson@example.edu
T02924,Christopher Houston,Non-Binary,Germany,Chemistry,Economics,PhD,12,Hybrid,Online Certifications,Full-time,Mandarin,3.33,7,False,christopher.houston@example.edu
T02925,Debbie Hodge,Female,India,Economics,Computer Science,Bachelors,3,Interactive,None,Part-time,Spanish,3.2,39,False,debbie.hodge@example.edu
T02926,Kelly Smith,Non-Binary,USA,Physics,History,Bachelors,17,Flipped Classroom,M.Ed,Part-time,German,2.57,63,False,kelly.smith@example.edu
T02927,Holly Bright,Non-Binary,Australia,History,Physics,Masters,10,Interactive,M.Ed,Visiting,German,4.3,77,False,holly.bright@example.edu
T02928,Elizabeth Stevens,Female,Germany,Physics,Economics,PhD,39,Flipped Classroom,M.Ed,Visiting,Spanish,2.89,8,True,elizabeth.stevens@example.edu
T02929,Christopher Silva,Female,USA,English,Computer Science,Bachelors,16,Flipped Classroom,None,Visiting,Mandarin,4.58,50,True,christopher.silva@example.edu
T02930,Teresa Campbell,Male,India,Geography,Geography,PhD,36,Project-based,PGCE,Visiting,German,3.62,87,False,teresa.campbell@example.edu
T02931,Sydney Cox,Male,UK,Economics,Geography,Masters,1,Flipped Classroom,B.Ed,Visiting,French,4.72,31,False,sydney.cox@example.edu
T02932,Carrie Daniels,Non-Binary,UK,Physics,Economics,PhD,34,Interactive,PGCE,Visiting,Spanish,3.1,72,True,carrie.daniels@example.edu
T02933,Crystal Smith,Non-Binary,USA,History,English,Bachelors,19,Project-based,Online Certifications,Part-time,French,4.98,60,False,crystal.smith@example.edu
T02934,Philip Campbell,Female,USA,History,Mathematics,PhD,28,Lecture-based,PGCE,Full-time,Spanish,3.92,81,False,philip.campbell@example.edu
T02935,Shelia Cantu,Male,Australia,Biology,English,Bachelors,4,Lecture-based,B.Ed,Full-time,English,4.75,96,True,shelia.cantu@example.edu
T02936,Frank Reeves,Non-Binary,UK,Mathematics,Computer Science,Masters,22,Lecture-based,B.Ed,Part-time,English,2.51,8,False,frank.reeves@example.edu
T02937,Dana Young,Non-Binary,Germany,Economics,Chemistry,Masters,8,Hybrid,PGCE,Part-time,English,2.97,73,True,dana.young@example.edu
T02938,Christina Anderson,Male,Australia,Philosophy,Physics,Bachelors,25,Flipped Classroom,Online Certifications,Visiting,Mandarin,3.32,77,True,christina.anderson@example.edu
T02939,Hannah Conway,Non-Binary,Australia,Physics,Computer Science,PhD,8,Project-based,TESOL,Visiting,French,3.04,76,False,hannah.conway@example.edu
T02940,Andrew Singleton DVM,Non-Binary,USA,Computer Science,Philosophy,Bachelors,22,Flipped Classroom,Online Certifications,Part-time,English,4.46,33,False,andrew.singleton.dvm@example.edu
T02941,Amy Chang,Male,India,Economics,History,Masters,5,Interactive,Online Certifications,Visiting,English,4.34,89,False,amy.chang@example.edu
T02942,James Padilla,Female,India,Biology,Economics,PhD,10,Project-based,None,Visiting,Spanish,3.09,58,True,james.padilla@example.edu
T02943,David Adams,Male,France,Physics,Economics,PhD,1,Interactive,Online Certifications,Visiting,German,4.18,30,False,david.adams@example.edu
T02944,Dr. Michael Fernandez,Non-Binary,Australia,Mathematics,Physics,PhD,13,Project-based,None,Full-time,German,3.46,86,True,dr..michael.fernandez@example.edu
T02945,Brendan Whitaker,Non-Binary,UK,Geography,Mathematics,PhD,1,Lecture-based,M.Ed,Part-time,Spanish,2.87,85,False,brendan.whitaker@example.edu
T02946,Miranda Reed,Non-Binary,France,Mathematics,Chemistry,Bachelors,22,Lecture-based,M.Ed,Full-time,French,4.0,98,True,miranda.reed@example.edu
T02947,Gordon Johnson,Male,Canada,History,English,PhD,29,Interactive,None,Visiting,English,4.35,33,True,gordon.johnson@example.edu
T02948,Derrick Shields,Female,Australia,English,Computer Science,Bachelors,24,Project-based,M.Ed,Part-time,English,3.55,26,True,derrick.shields@example.edu
T02949,Thomas Pennington,Non-Binary,Germany,Economics,Philosophy,Masters,15,Project-based,B.Ed,Part-time,English,2.54,45,False,thomas.pennington@example.edu
T02950,Christina Lee,Female,Canada,Economics,Computer Science,PhD,26,Interactive,M.Ed,Visiting,German,4.49,60,True,christina.lee@example.edu
T02951,Christopher Allen,Male,India,History,Chemistry,PhD,5,Project-based,PGCE,Part-time,Spanish,2.59,40,False,christopher.allen@example.edu
T02952,Laura Davis,Non-Binary,France,English,Geography,Masters,21,Project-based,None,Part-time,Spanish,4.82,56,False,laura.davis@example.edu
T02953,Madison Cantu,Female,Australia,Biology,Economics,Masters,7,Lecture-based,B.Ed,Visiting,German,4.53,70,False,madison.cantu@example.edu
T02954,Amber Cordova,Male,Canada,Biology,Geography,Masters,9,Hybrid,M.Ed,Full-time,English,4.95,30,False,amber.cordova@example.edu
T02955,Alexander Foster,Male,India,Economics,English,Masters,8,Interactive,TESOL,Visiting,German,4.81,85,True,alexander.foster@example.edu
T02956,Margaret King,Female,UK,Biology,Mathematics,Bachelors,39,Project-based,TESOL,Part-time,Spanish,3.06,54,False,margaret.king@example.edu
T02957,Joshua Cooper,Non-Binary,USA,English,History,Masters,14,Lecture-based,PGCE,Full-time,English,3.43,77,False,joshua.cooper@example.edu
T02958,Tina Valdez,Female,UK,Physics,Economics,Bachelors,8,Hybrid,Online Certifications,Part-time,German,2.89,87,True,tina.valdez@example.edu
T02959,David Miller,Female,Germany,Economics,Chemistry,Masters,24,Hybrid,B.Ed,Part-time,German,3.95,78,False,david.miller@example.edu
T02960,Chris Baldwin,Female,France,Physics,Biology,Bachelors,20,Hybrid,M.Ed,Full-time,Mandarin,3.54,53,False,chris.baldwin@example.edu
T02961,Matthew Jones,Female,UK,Economics,English,PhD,24,Project-based,M.Ed,Full-time,German,2.5,43,False,matthew.jones@example.edu
T02962,Kathy Haley,Female,UK,Chemistry,Geography,Bachelors,7,Lecture-based,PGCE,Visiting,Mandarin,4.43,87,True,kathy.haley@example.edu
T02963,Jennifer Keller,Male,Australia,English,Geography,PhD,11,Lecture-based,Online Certifications,Full-time,German,3.56,51,True,jennifer.keller@example.edu
T02964,Jaime Benton,Female,USA,Economics,Economics,PhD,35,Flipped Classroom,None,Part-time,French,4.15,72,False,jaime.benton@example.edu
T02965,Tanner Webster,Female,France,Computer Science,Physics,Bachelors,2,Flipped Classroom,M.Ed,Part-time,German,2.56,79,True,tanner.webster@example.edu
T02966,Tammy Silva,Non-Binary,USA,Geography,English,Bachelors,2,Flipped Classroom,B.Ed,Part-time,Spanish,3.83,48,True,tammy.silva@example.edu
T02967,Cassandra Hanna,Female,UK,Chemistry,Biology,Bachelors,22,Hybrid,None,Part-time,English,2.89,92,False,cassandra.hanna@example.edu
T02968,Robert Gibson,Male,UK,Philosophy,Computer Science,Masters,26,Hybrid,M.Ed,Part-time,German,3.95,47,True,robert.gibson@example.edu
T02969,Christopher Newman,Female,France,Philosophy,Economics,Masters,14,Project-based,None,Part-time,Mandarin,4.29,81,True,christopher.newman@example.edu
T02970,Andrea Cruz,Non-Binary,Canada,Physics,Geography,Bachelors,7,Hybrid,B.Ed,Part-time,Mandarin,3.84,38,True,andrea.cruz@example.edu
T02971,Gregory Ray,Female,India,Geography,History,Masters,39,Lecture-based,None,Full-time,French,2.62,15,True,gregory.ray@example.edu
T02972,Keith Moran,Non-Binary,Australia,Physics,English,PhD,4,Hybrid,PGCE,Visiting,English,4.73,58,True,keith.moran@example.edu
T02973,Mario Lyons,Male,Canada,Mathematics,English,Bachelors,18,Lecture-based,B.Ed,Visiting,Mandarin,4.23,62,True,mario.lyons@example.edu
T02974,Paula Crawford,Female,Canada,Computer Science,Chemistry,Masters,6,Hybrid,TESOL,Full-time,French,4.66,26,False,paula.crawford@example.edu
T02975,Amy Johnston,Female,Canada,English,Mathematics,Masters,1,Flipped Classroom,M.Ed,Part-time,English,3.21,36,True,amy.johnston@example.edu
T02976,Connie Mora,Male,France,Physics,Geography,Masters,38,Hybrid,B.Ed,Part-time,French,3.18,26,False,connie.mora@example.edu
T02977,Samantha Zimmerman MD,Non-Binary,UK,Geography,Physics,PhD,10,Flipped Classroom,B.Ed,Visiting,Spanish,4.5,87,True,samantha.zimmerman.md@example.edu
T02978,Robert Grimes,Female,UK,English,English,Masters,33,Interactive,None,Part-time,French,3.37,17,False,robert.grimes@example.edu
T02979,Adam Garcia,Female,UK,Physics,Physics,PhD,1,Flipped Classroom,Online Certifications,Visiting,Mandarin,4.67,90,False,adam.garcia@example.edu
T02980,Ryan Norris,Male,Australia,Mathematics,English,Bachelors,28,Lecture-based,Online Certifications,Full-time,French,3.97,69,True,ryan.norris@example.edu
T02981,Sean Garcia,Male,Canada,History,Biology,Masters,34,Lecture-based,M.Ed,Part-time,Spanish,3.7,56,False,sean.garcia@example.edu
T02982,Teresa Walls,Non-Binary,UK,Philosophy,Economics,PhD,8,Flipped Classroom,None,Visiting,Mandarin,3.24,77,False,teresa.walls@example.edu
T02983,Christine Morris,Male,India,Computer Science,Economics,Masters,2,Flipped Classroom,B.Ed,Part-time,French,3.49,14,True,christine.morris@example.edu
T02984,Hannah Herring,Female,France,Chemistry,Chemistry,Masters,36,Project-based,TESOL,Part-time,Spanish,4.47,66,True,hannah.herring@example.edu
T02985,Gabriela Wallace,Male,UK,Geography,Chemistry,Masters,18,Interactive,Online Certifications,Visiting,English,3.14,47,False,gabriela.wallace@example.edu
T02986,Angel Arias,Male,Canada,History,English,Bachelors,19,Interactive,Online Certifications,Part-time,Mandarin,3.77,44,True,angel.arias@example.edu
T02987,Julie Gregory,Male,USA,Chemistry,English,Bachelors,6,Lecture-based,PGCE,Part-time,English,4.13,42,False,julie.gregory@example.edu
T02988,Paul Stevens,Male,France,Biology,Economics,Masters,22,Project-based,M.Ed,Part-time,Mandarin,2.95,24,False,paul.stevens@example.edu
T02989,Elizabeth Short,Female,India,Mathematics,Geography,Masters,23,Hybrid,TESOL,Part-time,German,3.65,33,True,elizabeth.short@example.edu
T02990,Joseph Morgan,Female,France,History,English,PhD,20,Project-based,TESOL,Full-time,Spanish,4.75,42,True,joseph.morgan@example.edu
T02991,Gregory Stephenson,Non-Binary,Germany,Biology,Economics,Masters,21,Hybrid,PGCE,Visiting,French,4.44,54,False,gregory.stephenson@example.edu
T02992,Thomas Miller,Male,France,Biology,Chemistry,Bachelors,25,Interactive,PGCE,Part-time,French,4.21,47,False,thomas.miller@example.edu
T02993,Kayla Navarro,Female,Canada,Physics,Physics,Masters,26,Interactive,B.Ed,Visiting,French,2.92,52,True,kayla.navarro@example.edu
T02994,Kimberly Holden,Non-Binary,Canada,Biology,English,Bachelors,11,Interactive,B.Ed,Full-time,Mandarin,4.35,68,False,kimberly.holden@example.edu
T02995,Ricky Gallagher,Non-Binary,Germany,Philosophy,Mathematics,Bachelors,37,Hybrid,None,Visiting,English,2.8,23,False,ricky.gallagher@example.edu
T02996,Raymond Chung,Male,Australia,Physics,Geography,Bachelors,26,Flipped Classroom,B.Ed,Part-time,Mandarin,4.76,64,True,raymond.chung@example.edu
T02997,Laura Curry,Non-Binary,Australia,History,Computer Science,PhD,8,Flipped Classroom,TESOL,Part-time,French,3.02,34,True,laura.curry@example.edu
T02998,Amanda Nichols,Male,USA,Geography,English,PhD,14,Flipped Classroom,TESOL,Visiting,English,4.7,9,False,amanda.nichols@example.edu
T02999,Donna Jackson,Male,Australia,English,Philosophy,Masters,39,Hybrid,M.Ed,Part-time,French,4.69,36,True,donna.jackson@example.edu
T03000,Catherine Sims,Non-Binary,India,Biology,Chemistry,Bachelors,19,Project-based,B.Ed,Part-time,French,3.48,67,True,catherine.sims@example.edu
T03001,Marie Kelley,Female,France,Geography,Mathematics,Masters,3,Project-based,TESOL,Visiting,Spanish,3.09,77,False,marie.kelley@example.edu
T03002,Adrienne Murray,Non-Binary,Canada,Economics,Biology,PhD,3,Flipped Classroom,None,Part-time,Mandarin,4.93,21,False,adrienne.murray@example.edu
